Event,Good,Evil,Neutral,Impact,Self_Impact,Stat,Good1,Good2,Evil1,Skill
A student needs tutoring but can't afford it.,Tutor them for free.,Charge triple your rate.,Recommend a YouTube channel.,3,3,Mental Health,Your tutoring skills got them a scholarship!,You helped but they still failed.,You exploited their desperation.,Education
You witness election fraud.,Document and report to officials.,Participate in the fraud.,Vote and leave quietly.,5,3,Intelligence,Your evidence triggered an investigation!,You reported but were dismissed as paranoid.,You helped rig the election.,Government
A coworker is being discriminated against.,Stand up for them formally.,Join in to fit in.,Stay silent and uncomfortable.,4,4,Mental Health,Your debate skills got policy changed!,You stood up but both got fired.,You participated in the bullying.,Communication
You can invest in either green energy or oil.,Invest in sustainable technology.,Invest in fossil fuels for profit.,Keep your money in savings.,3,5,Money,Your investment knowledge made you rich ethically!,You invested but returns were slow.,You made huge profits as climate worsened.,Finance
A robot you programmed malfunctions dangerously.,Shut it down and debug thoroughly.,Let it run to collect data.,Blame the hardware team.,5,4,Intelligence,Your robotics expertise fixed it perfectly!,You shut it down but couldn't fix it.,It injured someone while you collected data.,STEM
You see fake news going viral.,Create a fact-check post with sources.,Share the fake news for engagement.,Scroll past it.,4,3,Intelligence,Your research skills exposed the truth!,You tried but got accused of lying.,Your post got 100k shares.,Communication
A photographer asks to use your photo commercially.,Negotiate fair compensation.,Demand excessive payment and threaten legal action.,Give it away for free.,2,2,Money,Your networking led to a modeling contract!,You negotiated but got lowballed.,You extorted $5000 from them.,Business
You discover your yoga studio is a cult.,Leave and warn others.,Recruit more members for status.,Quietly stop attending.,4,4,Mental Health,Your public awareness saved dozens!,You warned people but got sued.,You became a high-ranking recruiter.,Athletic
A music venue is underpaying artists.,Organize fair pay advocacy.,Take the gig anyway.,Turn down the gig.,3,3,Money,Your music industry knowledge changed policy!,You advocated but got blacklisted.,You performed while others starved.,Music
Your investment advice could save or ruin someone.,Give honest financial guidance.,Recommend risky options for commission.,Refuse to give advice.,3,4,Money,Your finance expertise made them wealthy!,You tried but they lost everything anyway.,You got rich on their losses.,Finance
